lat,name,value,nice_name
24.375,att,0.4137608560350181,Att.
24.375,ta_eve_1,0.8392527045039627,Tax. evenness
24.375,mo_grey_mean,1.7260434245960614,Grey mean
24.375,abund,1.0791812460476249,Abund. (log10)
26.125,att,0.44982295396326016,Att.
26.125,ta_eve_1,0.7969240181281766,Tax. evenness
26.125,mo_grey_mean,0.18175316039762499,Grey mean
26.125,abund,1.3010299956639813,Abund. (log10)
32.625,att,0.49987804748100356,Att.
32.625,ta_eve_1,0.3795618107732545,Tax. evenness
32.625,mo_grey_mean,2.8349546869697115,Grey mean
32.625,abund,2.250420002308894,Abund. (log10)
32.625,att,0.5003510013521313,Att.
32.625,ta_eve_1,0.3907273404829785,Tax. evenness
32.625,mo_grey_mean,2.668500901227986,Grey mean
32.625,abund,2.3180633349627615,Abund. (log10)
32.625,att,0.5142157144966872,Att.
32.625,ta_eve_1,0.3506746237529493,Tax. evenness
32.625,mo_grey_mean,2.8555692098979275,Grey mean
32.625,abund,2.2490235558263043,Abund. (log10)
32.875,att,0.5014621468678312,Att.
32.875,ta_eve_1,0.6178872819560696,Tax. evenness
32.875,mo_grey_mean,2.305184990146588,Grey mean
32.875,abund,1.9608273899659168,Abund. (log10)
33.875,att,0.4842972170953999,Att.
33.875,ta_eve_1,0.3855238294012698,Tax. evenness
33.875,mo_grey_mean,3.297936642567328,Grey mean
33.875,abund,2.342422680822206,Abund. (log10)
32.875,att,0.5007339530782661,Att.
32.875,ta_eve_1,0.5566939906005411,Tax. evenness
32.875,mo_grey_mean,2.1077507975653225,Grey mean
32.875,abund,2.1746411926604483,Abund. (log10)
33.625,att,0.48877154630132374,Att.
33.625,ta_eve_1,0.40039135825782524,Tax. evenness
33.625,mo_grey_mean,3.159477945495211,Grey mean
33.625,abund,2.1687920203141817,Abund. (log10)
33.875,att,0.4835581596213293,Att.
33.875,ta_eve_1,0.23821752251381195,Tax. evenness
33.875,mo_grey_mean,3.434238022748612,Grey mean
33.875,abund,2.614545702876022,Abund. (log10)
33.625,att,0.4901036094131685,Att.
33.625,ta_eve_1,0.5206125591070497,Tax. evenness
33.625,mo_grey_mean,2.7353886428124996,Grey mean
33.625,abund,2.1624897277365047,Abund. (log10)
34.125,att,0.4813332973282865,Att.
34.125,ta_eve_1,0.2611251487483947,Tax. evenness
34.125,mo_grey_mean,3.1492461880018143,Grey mean
34.125,abund,2.4756711883244296,Abund. (log10)
34.375,att,0.4824141606118672,Att.
34.375,ta_eve_1,0.5357823105565357,Tax. evenness
34.375,mo_grey_mean,-1.6000789411340137,Grey mean
34.375,abund,2.119475840906798,Abund. (log10)
33.125,att,0.5150115464038278,Att.
33.125,ta_eve_1,0.43969629247634917,Tax. evenness
33.125,mo_grey_mean,2.6814143631948406,Grey mean
33.125,abund,2.2833012287035497,Abund. (log10)
34.125,att,0.4881617018719119,Att.
34.125,ta_eve_1,0.3461477744667191,Tax. evenness
34.125,mo_grey_mean,3.073572717436228,Grey mean
34.125,abund,2.561300190922797,Abund. (log10)
32.625,att,0.5266434245931402,Att.
32.625,ta_eve_1,0.29443191283665915,Tax. evenness
32.625,mo_grey_mean,3.1317445254879623,Grey mean
32.625,abund,2.530199698203082,Abund. (log10)
32.875,att,0.5216724445253362,Att.
32.875,ta_eve_1,0.4050001140361956,Tax. evenness
32.875,mo_grey_mean,2.742640533473848,Grey mean
32.875,abund,2.3106933123433606,Abund. (log10)
33.125,att,0.5165450978253603,Att.
33.125,ta_eve_1,0.43640176573306255,Tax. evenness
33.125,mo_grey_mean,2.85803622579473,Grey mean
33.125,abund,2.4195427247002796,Abund. (log10)
33.375,att,0.5095869140269537,Att.
33.375,ta_eve_1,0.5646962461014989,Tax. evenness
33.375,mo_grey_mean,0.0971703426987588,Grey mean
33.375,abund,1.8020892578817327,Abund. (log10)
33.875,att,0.49137976671536676,Att.
33.875,ta_eve_1,0.3024373348192064,Tax. evenness
33.875,mo_grey_mean,3.167274356601812,Grey mean
33.875,abund,2.550839605065785,Abund. (log10)
34.125,att,0.4903258766428523,Att.
34.125,ta_eve_1,0.3713331729920099,Tax. evenness
34.125,mo_grey_mean,3.170518870388097,Grey mean
34.125,abund,2.5211380837040362,Abund. (log10)
32.625,att,0.5271870271021085,Att.
32.625,ta_eve_1,0.31286112414737477,Tax. evenness
32.625,mo_grey_mean,2.9690733982287103,Grey mean
32.625,abund,2.5538830266438746,Abund. (log10)
33.625,att,0.5076271081900237,Att.
33.625,ta_eve_1,0.5396099157029501,Tax. evenness
33.625,mo_grey_mean,0.42979689739512694,Grey mean
33.625,abund,1.7183830453801539,Abund. (log10)
33.625,att,0.5115089018703007,Att.
33.625,ta_eve_1,0.511892143901934,Tax. evenness
33.625,mo_grey_mean,-1.89979976287315,Grey mean
33.625,abund,1.5024271199844328,Abund. (log10)
34.375,att,0.49198392756839054,Att.
34.375,ta_eve_1,0.5444767956688725,Tax. evenness
34.375,mo_grey_mean,2.137268793145686,Grey mean
34.375,abund,2.433769833924866,Abund. (log10)
34.625,att,0.48948755099991614,Att.
34.625,ta_eve_1,0.6181667449473777,Tax. evenness
34.625,mo_grey_mean,1.9211102659372397,Grey mean
34.625,abund,2.424881636631067,Abund. (log10)
33.375,att,0.5198119729581296,Att.
33.375,ta_eve_1,0.5519530039240012,Tax. evenness
33.375,mo_grey_mean,0.27392733158549754,Grey mean
33.375,abund,2.250420002308894,Abund. (log10)
33.625,att,0.5165323026038291,Att.
33.625,ta_eve_1,0.5404767145239722,Tax. evenness
33.625,mo_grey_mean,-2.3733455554947094,Grey mean
33.625,abund,1.4722687519252504,Abund. (log10)
34.625,att,0.4903576779012424,Att.
34.625,ta_eve_1,0.6387007943749706,Tax. evenness
34.625,mo_grey_mean,1.8242544536140466,Grey mean
34.625,abund,2.33718689095755,Abund. (log10)
33.125,att,0.5270579939673109,Att.
33.125,ta_eve_1,0.34990144387115263,Tax. evenness
33.125,mo_grey_mean,1.571202948503448,Grey mean
33.125,abund,2.040074643230312,Abund. (log10)
34.125,att,0.5115431189756838,Att.
34.125,ta_eve_1,0.7036109285947932,Tax. evenness
34.125,mo_grey_mean,1.6830999288414892,Grey mean
34.125,abund,2.3273589343863303,Abund. (log10)
34.375,att,0.49628566497545373,Att.
34.375,ta_eve_1,0.6915028059799894,Tax. evenness
34.375,mo_grey_mean,1.6709658767713318,Grey mean
34.375,abund,2.36078268987328,Abund. (log10)
34.625,att,0.4926239814833384,Att.
34.625,ta_eve_1,0.7346949141496202,Tax. evenness
34.625,mo_grey_mean,1.5808999242133146,Grey mean
34.625,abund,2.0851716097368125,Abund. (log10)
32.875,att,0.5251796189746538,Att.
32.875,ta_eve_1,0.5182888656948121,Tax. evenness
32.875,mo_grey_mean,0.6062788183335761,Grey mean
32.875,abund,1.9637878273455553,Abund. (log10)
33.375,att,0.5269688729584406,Att.
33.375,ta_eve_1,0.317412424224085,Tax. evenness
33.375,mo_grey_mean,1.630497581250975,Grey mean
33.375,abund,1.9395192526186185,Abund. (log10)
33.625,att,0.5214284334633505,Att.
33.625,ta_eve_1,0.6103900297314809,Tax. evenness
33.625,mo_grey_mean,1.1838139535127437,Grey mean
33.625,abund,1.9344984512435677,Abund. (log10)
34.125,att,0.5130281525788627,Att.
34.125,ta_eve_1,0.5837114778202928,Tax. evenness
34.125,mo_grey_mean,1.20144904875314,Grey mean
34.125,abund,1.845098040014257,Abund. (log10)
34.375,att,0.5103465885115852,Att.
34.375,ta_eve_1,0.5836157124477386,Tax. evenness
34.375,mo_grey_mean,1.024139561820391,Grey mean
34.375,abund,1.9978230807457256,Abund. (log10)
34.625,att,0.5011971748099178,Att.
34.625,ta_eve_1,0.7072234315866528,Tax. evenness
34.625,mo_grey_mean,0.9158400852453947,Grey mean
34.625,abund,1.8367459656494909,Abund. (log10)
33.875,att,0.5181409105335295,Att.
33.875,ta_eve_1,0.6886657411243519,Tax. evenness
33.875,mo_grey_mean,1.3192888044845272,Grey mean
33.875,abund,2.0354297381845483,Abund. (log10)
34.125,att,0.5138186351221322,Att.
34.125,ta_eve_1,0.7546980034260018,Tax. evenness
34.125,mo_grey_mean,1.3115112908410684,Grey mean
34.125,abund,1.9225524667613758,Abund. (log10)
34.375,att,0.5095348629665561,Att.
34.375,ta_eve_1,0.45568128505006456,Tax. evenness
34.375,mo_grey_mean,0.8395583724342983,Grey mean
34.375,abund,1.9444826721501687,Abund. (log10)
34.625,att,0.5046960401099589,Att.
34.625,ta_eve_1,0.49042923389570947,Tax. evenness
34.625,mo_grey_mean,0.9168499383024402,Grey mean
34.625,abund,1.8195439355418688,Abund. (log10)
32.375,att,0.5227139934407997,Att.
32.375,ta_eve_1,0.594056317510848,Tax. evenness
32.375,mo_grey_mean,2.159513116776676,Grey mean
32.375,abund,1.99563519459755,Abund. (log10)
32.625,att,0.5223941989991437,Att.
32.625,ta_eve_1,0.5260498577156957,Tax. evenness
32.625,mo_grey_mean,2.3659676631967286,Grey mean
32.625,abund,2.0253058652647704,Abund. (log10)
32.875,att,0.5214163330910555,Att.
32.875,ta_eve_1,0.5137979369639365,Tax. evenness
32.875,mo_grey_mean,2.2224975198893127,Grey mean
32.875,abund,2.1089031276673134,Abund. (log10)
33.375,att,0.5252107370828828,Att.
33.375,ta_eve_1,0.43540815996420346,Tax. evenness
33.375,mo_grey_mean,3.0883224279874604,Grey mean
33.375,abund,2.4983105537896004,Abund. (log10)
33.875,att,0.5187104376575358,Att.
33.875,ta_eve_1,0.7375551557601074,Tax. evenness
33.875,mo_grey_mean,1.7455685296391912,Grey mean
33.875,abund,2.0681858617461617,Abund. (log10)
34.125,att,0.5130077771290733,Att.
34.125,ta_eve_1,0.6050128019497832,Tax. evenness
34.125,mo_grey_mean,1.0756935133803132,Grey mean
34.125,abund,1.7947203518168366,Abund. (log10)
32.125,att,0.5218534170797902,Att.
32.125,ta_eve_1,0.5908777383572352,Tax. evenness
32.125,mo_grey_mean,2.440636603017035,Grey mean
32.125,abund,1.9444826721501687,Abund. (log10)
32.375,att,0.5212815668425974,Att.
32.375,ta_eve_1,0.6005270507612659,Tax. evenness
32.375,mo_grey_mean,2.3418886800025844,Grey mean
32.375,abund,2.0170333392987803,Abund. (log10)
32.875,att,0.5188591015201666,Att.
32.875,ta_eve_1,0.6358491038319737,Tax. evenness
32.875,mo_grey_mean,-2.10687648660609,Grey mean
32.875,abund,1.589035189866799,Abund. (log10)
32.625,att,0.5201244806857547,Att.
32.625,ta_eve_1,0.5672890223164208,Tax. evenness
32.625,mo_grey_mean,2.521404417834762,Grey mean
32.625,abund,2.0043213737826426,Abund. (log10)
33.875,att,0.5209083092768754,Att.
33.875,ta_eve_1,0.523379150328997,Tax. evenness
33.875,mo_grey_mean,2.323141474951043,Grey mean
33.875,abund,2.123851640967086,Abund. (log10)
35.375,att,0.5078916069124089,Att.
35.375,ta_eve_1,0.27590623950224225,Tax. evenness
35.375,mo_grey_mean,3.3867807555459972,Grey mean
35.375,abund,2.3273589343863303,Abund. (log10)
35.375,att,0.5099175794435984,Att.
35.375,ta_eve_1,0.2749548809050425,Tax. evenness
35.375,mo_grey_mean,3.4429257674360896,Grey mean
35.375,abund,2.292256071356476,Abund. (log10)
35.125,att,0.5096323620723049,Att.
35.125,ta_eve_1,0.3126508295921565,Tax. evenness
35.125,mo_grey_mean,3.320914432592145,Grey mean
35.125,abund,2.2430380486862944,Abund. (log10)
35.125,att,0.5084636607751513,Att.
35.125,ta_eve_1,0.3075545523786392,Tax. evenness
35.125,mo_grey_mean,3.245583120799858,Grey mean
35.125,abund,2.367355921026019,Abund. (log10)
-48.375,att,0.5394705981089638,Att.
-48.375,ta_eve_1,0.5233664643170235,Tax. evenness
-48.375,mo_grey_mean,1.535479073320462,Grey mean
-48.375,abund,1.9444826721501687,Abund. (log10)
-48.625,att,0.5511861881486095,Att.
-48.625,ta_eve_1,0.28370839520554153,Tax. evenness
-48.625,mo_grey_mean,1.6584247482070325,Grey mean
-48.625,abund,2.3729120029701067,Abund. (log10)
70.875,att,0.37799631813308204,Att.
70.875,ta_eve_1,0.5489532846626205,Tax. evenness
70.875,mo_grey_mean,1.895439329843644,Grey mean
70.875,abund,1.6434526764861874,Abund. (log10)
-8.875,att,0.5100027585648098,Att.
-8.875,ta_eve_1,0.8508922729170768,Tax. evenness
-8.875,mo_grey_mean,0.96035502349935,Grey mean
-8.875,abund,1.3222192947339193,Abund. (log10)
-9.125,att,0.5197821265741908,Att.
-9.125,ta_eve_1,0.679660103804397,Tax. evenness
-9.125,mo_grey_mean,1.3095482094638833,Grey mean
-9.125,abund,1.2787536009528289,Abund. (log10)
-9.625,att,0.5786382784870933,Att.
-9.625,ta_eve_1,0.8632079975815702,Tax. evenness
-9.625,mo_grey_mean,0.78853644787079,Grey mean
-9.625,abund,1.2041199826559248,Abund. (log10)
-8.875,att,0.5121324442392298,Att.
-8.875,ta_eve_1,0.8635663696723851,Tax. evenness
-8.875,mo_grey_mean,0.4673196146311559,Grey mean
-8.875,abund,1.2787536009528289,Abund. (log10)
-9.125,att,0.5267567943201181,Att.
-9.125,ta_eve_1,0.8014574420020176,Tax. evenness
-9.125,mo_grey_mean,1.1740764130346009,Grey mean
-9.125,abund,1.414973347970818,Abund. (log10)
-48.125,att,0.5357955546695475,Att.
-48.125,ta_eve_1,0.3846614986132057,Tax. evenness
-48.125,mo_grey_mean,1.3458109862375882,Grey mean
-48.125,abund,2.164352855784437,Abund. (log10)
-48.625,att,0.5512507147475357,Att.
-48.625,ta_eve_1,0.5471969090957656,Tax. evenness
-48.625,mo_grey_mean,1.8259753333909663,Grey mean
-48.625,abund,1.568201724066995,Abund. (log10)
-48.125,att,0.5313903567310271,Att.
-48.125,ta_eve_1,0.49301839334621483,Tax. evenness
-48.125,mo_grey_mean,1.7162377270153732,Grey mean
-48.125,abund,1.968482948553935,Abund. (log10)
-48.625,att,0.5491102154324171,Att.
-48.625,ta_eve_1,0.373955941493879,Tax. evenness
-48.625,mo_grey_mean,1.6931641584411956,Grey mean
-48.625,abund,2.0755469613925306,Abund. (log10)
-8.875,att,0.5152918769930654,Att.
-8.875,ta_eve_1,0.4905316790130861,Tax. evenness
-8.875,mo_grey_mean,0.20014029357553073,Grey mean
-8.875,abund,1.4771212547196624,Abund. (log10)
-8.875,att,0.5245102230434892,Att.
-8.875,ta_eve_1,0.7144053985456034,Tax. evenness
-8.875,mo_grey_mean,1.4480347467231938,Grey mean
-8.875,abund,1.3710678622717363,Abund. (log10)
71.375,att,0.3824699457884412,Att.
71.375,ta_eve_1,0.6975383506451684,Tax. evenness
71.375,mo_grey_mean,-2.2557748758868996,Grey mean
71.375,abund,1.5563025007672873,Abund. (log10)
-8.875,att,0.5419748623031563,Att.
-8.875,ta_eve_1,0.8307932404518498,Tax. evenness
-8.875,mo_grey_mean,1.3326344667921888,Grey mean
-8.875,abund,1.3424226808222062,Abund. (log10)
54.875,att,0.4776227875333516,Att.
54.875,ta_eve_1,0.6305116031415251,Tax. evenness
54.875,mo_grey_mean,-1.619125242647732,Grey mean
54.875,abund,2.3201462861110542,Abund. (log10)
54.875,att,0.47797573610751176,Att.
54.875,ta_eve_1,0.7825965131328986,Tax. evenness
54.875,mo_grey_mean,-1.5482501695660829,Grey mean
54.875,abund,2.0043213737826426,Abund. (log10)
34.375,att,0.2991918057378793,Att.
34.375,ta_eve_1,0.8357107881586909,Tax. evenness
34.375,mo_grey_mean,1.5843587466693696,Grey mean
34.375,abund,1.2787536009528289,Abund. (log10)
71.375,att,0.41908727838115817,Att.
71.375,ta_eve_1,0.5226724824650507,Tax. evenness
71.375,mo_grey_mean,-3.5953876307740846,Grey mean
71.375,abund,1.568201724066995,Abund. (log10)
-16.875,att,0.36445534139734526,Att.
-16.875,ta_eve_1,0.8340791043549587,Tax. evenness
-16.875,mo_grey_mean,-0.9320049721931448,Grey mean
-16.875,abund,1.0413926851582251,Abund. (log10)
-47.625,att,0.4946706785538691,Att.
-47.625,ta_eve_1,0.41099971644524147,Tax. evenness
-47.625,mo_grey_mean,1.4130092105720966,Grey mean
-47.625,abund,2.110589710299249,Abund. (log10)
-48.125,att,0.5246139757413588,Att.
-48.125,ta_eve_1,0.32840171460078166,Tax. evenness
-48.125,mo_grey_mean,1.4657706564552209,Grey mean
-48.125,abund,2.292256071356476,Abund. (log10)
-48.375,att,0.5447057846887756,Att.
-48.375,ta_eve_1,0.2303396089104828,Tax. evenness
-48.375,mo_grey_mean,1.583068186467769,Grey mean
-48.375,abund,2.0755469613925306,Abund. (log10)
-48.625,att,0.5502074119661028,Att.
-48.625,ta_eve_1,0.4318743542672788,Tax. evenness
-48.625,mo_grey_mean,1.2302818772996673,Grey mean
-48.625,abund,1.8276922886744456,Abund. (log10)
-49.125,att,0.4236865100054829,Att.
-49.125,ta_eve_1,0.5338462543922518,Tax. evenness
-49.125,mo_grey_mean,1.4390620544388253,Grey mean
-49.125,abund,2.0043213737826426,Abund. (log10)
-49.375,att,0.6109610395988646,Att.
-49.375,ta_eve_1,0.2124842690420396,Tax. evenness
-49.375,mo_grey_mean,1.4133779541583305,Grey mean
-49.375,abund,1.7160033436347992,Abund. (log10)
-48.125,att,0.5253450073359056,Att.
-48.125,ta_eve_1,0.45941359284050604,Tax. evenness
-48.125,mo_grey_mean,0.9754612569832974,Grey mean
-48.125,abund,1.8976270912904414,Abund. (log10)
-48.375,att,0.5449343035982741,Att.
-48.375,ta_eve_1,0.4256328650305083,Tax. evenness
-48.375,mo_grey_mean,1.2227093368261632,Grey mean
-48.375,abund,1.9319661147281726,Abund. (log10)
-48.625,att,0.5542933777902155,Att.
-48.625,ta_eve_1,0.20129183099947195,Tax. evenness
-48.625,mo_grey_mean,1.356211149259731,Grey mean
-48.625,abund,1.9912260756924949,Abund. (log10)
-49.375,att,0.6101193632861246,Att.
-49.375,ta_eve_1,0.3715291027451791,Tax. evenness
-49.375,mo_grey_mean,1.5616462895568881,Grey mean
-49.375,abund,2.0232524596337114,Abund. (log10)
-49.625,att,0.6222136806172834,Att.
-49.625,ta_eve_1,0.3317715484044438,Tax. evenness
-49.625,mo_grey_mean,1.012502246240305,Grey mean
-49.625,abund,2.3443922736851106,Abund. (log10)
-47.625,att,0.49863869791474996,Att.
-47.625,ta_eve_1,0.3418601771639671,Tax. evenness
-47.625,mo_grey_mean,1.6959622558403726,Grey mean
-47.625,abund,1.8808135922807914,Abund. (log10)
-47.875,att,0.5104793306138656,Att.
-47.875,ta_eve_1,0.4512541369545196,Tax. evenness
-47.875,mo_grey_mean,1.6245408272510304,Grey mean
-47.875,abund,2.012837224705172,Abund. (log10)
-48.375,att,0.5489569409623778,Att.
-48.375,ta_eve_1,0.6878860126850677,Tax. evenness
-48.375,mo_grey_mean,1.4908494628415185,Grey mean
-48.375,abund,1.1139433523068367,Abund. (log10)
-48.625,att,0.5581369699631802,Att.
-48.625,ta_eve_1,0.5545796363881158,Tax. evenness
-48.625,mo_grey_mean,1.4393739687608802,Grey mean
-48.625,abund,1.968482948553935,Abund. (log10)
-49.125,att,0.4276030318040918,Att.
-49.125,ta_eve_1,0.4484915734330601,Tax. evenness
-49.125,mo_grey_mean,1.3580382757932752,Grey mean
-49.125,abund,1.8512583487190752,Abund. (log10)
-49.625,att,0.6222455924703721,Att.
-49.625,ta_eve_1,0.347334924831616,Tax. evenness
-49.625,mo_grey_mean,0.810201603973114,Grey mean
-49.625,abund,2.0043213737826426,Abund. (log10)
-48.125,att,0.5264476795311624,Att.
-48.125,ta_eve_1,0.36358859997208487,Tax. evenness
-48.125,mo_grey_mean,1.1490799187998175,Grey mean
-48.125,abund,1.8260748027008264,Abund. (log10)
-48.375,att,0.5396179949632118,Att.
-48.375,ta_eve_1,0.06317862787762091,Tax. evenness
-48.375,mo_grey_mean,1.5420346398825733,Grey mean
-48.375,abund,2.361727836017593,Abund. (log10)
-49.125,att,0.4286836408499668,Att.
-49.125,ta_eve_1,0.1757130521118403,Tax. evenness
-49.125,mo_grey_mean,1.112658478869956,Grey mean
-49.125,abund,2.12057393120585,Abund. (log10)
39.625,att,0.3471649870795159,Att.
39.625,ta_eve_1,0.5920643328353071,Tax. evenness
39.625,mo_grey_mean,-1.3771153930335909,Grey mean
39.625,abund,1.1139433523068367,Abund. (log10)
-0.125,att,0.3710242279646885,Att.
-0.125,ta_eve_1,0.8321900710778886,Tax. evenness
-0.125,mo_grey_mean,-1.22174328921966,Grey mean
-0.125,abund,1.7993405494535817,Abund. (log10)
-0.375,att,0.37305743157404786,Att.
-0.375,ta_eve_1,0.8291552015295923,Tax. evenness
-0.375,mo_grey_mean,-2.127856790261159,Grey mean
-0.375,abund,1.6720978579357175,Abund. (log10)
-0.625,att,0.37268009659577817,Att.
-0.625,ta_eve_1,0.7995126418460906,Tax. evenness
-0.625,mo_grey_mean,-1.6670842131606225,Grey mean
-0.625,abund,1.6812412373755872,Abund. (log10)
-0.875,att,0.3711098297359154,Att.
-0.875,ta_eve_1,0.7999729371287508,Tax. evenness
-0.875,mo_grey_mean,-1.6057563026562474,Grey mean
-0.875,abund,1.6720978579357175,Abund. (log10)
-1.125,att,0.3684398994709665,Att.
-1.125,ta_eve_1,0.8458993912940819,Tax. evenness
-1.125,mo_grey_mean,-1.4831980501513953,Grey mean
-1.125,abund,1.568201724066995,Abund. (log10)
-10.375,att,0.562113432394284,Att.
-10.375,ta_eve_1,0.9764464756048217,Tax. evenness
-10.375,mo_grey_mean,-1.3464210479208676,Grey mean
-10.375,abund,1.0791812460476249,Abund. (log10)
-11.375,att,0.5204980003990606,Att.
-11.375,ta_eve_1,0.9211964962385345,Tax. evenness
-11.375,mo_grey_mean,-1.6493819467335553,Grey mean
-11.375,abund,1.1139433523068367,Abund. (log10)
-13.625,att,0.40131245452076375,Att.
-13.625,ta_eve_1,0.8928458171356854,Tax. evenness
-13.625,mo_grey_mean,-2.1537966090560365,Grey mean
-13.625,abund,1.0413926851582251,Abund. (log10)
-2.375,att,0.3526706900789966,Att.
-2.375,ta_eve_1,0.7314341593314365,Tax. evenness
-2.375,mo_grey_mean,-1.2253322099341857,Grey mean
-2.375,abund,1.4313637641589874,Abund. (log10)
-3.375,att,0.3528314514431295,Att.
-3.375,ta_eve_1,0.7090902053093235,Tax. evenness
