lon,lat,att,prop_crustacea,prop_rhizaria,prop_gelatinous,prop_mollusca,prop_other,abund,biovol,ta_ric_1,ta_div_1,ta_eve_1,ss_slope,mo_size_mean,mo_grey_mean,mo_ric,mo_div,mo_eve
-0.125,-13.125,0.3221836462429556,0.6363895363895363,0.3134162134162134,0.014814814814814815,0,0.03537943537943538,31,227.00713024449703,7,1.0032060736444792,0.6227396256992294,-2.590795434095486,-0.7809885954759017,-1.8099662591943193,0.13512433650551195,0.7767368004250267,0.8599576666666666
-0.125,-15.125,0.3386452337098103,0.5208333333333334,0.4375,0,0,0.041666666666666664,48,433.1351706632834,7,1.089294591492184,0.6303810620939724,-2.387512357050197,-0.3905359973210965,-1.1061299880985893,0.28844852510219,0.7364334806769469,0.843433
-0.125,-17.625,0.33715032487220176,0.6628151260504203,0.2426470588235294,0.014705882352941176,0.03256302521008403,0.04726890756302521,31,27628.364000785325,8.5,1.129097272523754,0.636669795003269,-1.8288588744577912,-0.3394897188793489,-1.919017351690284,0.21954707405412227,0.7553741669603908,0.856229
-0.125,-19.875,0.3449616615148217,0.575,0.375,0,0,0.05,40,187.21442442011355,9,1.1086787629262074,0.5890928900629079,-2.94910713214583,-1.6093194739865804,-2.0265911593889814,0.1509331898107255,0.766336339908569,0.821135
-0.125,-2.875,0.36422005754220305,0.29403447347158634,0.6806490708322112,0.02531645569620253,0,0,86.5,1208.9280861901152,8,1.238391499918745,0.6463194663413919,-2.8341862424538133,0.25038146588921406,-1.2583379429938175,0.3158170683048936,0.7786992676978393,0.83733
-0.125,-22.375,0.3311822538935634,0.5743589743589743,0.28717948717948716,0.07179487179487179,0,0.06666666666666667,14,146.52908906768204,6.5,1.1179624242768855,0.8044241597140407,-1.4220506255164325,-0.4305002098233539,-1.7511536244099042,0.05216797586818739,0.8241460349743195,0.848385
-0.125,-27.125,0.26737209306732695,0.5833333333333334,0.4166666666666667,0,0,0,12,26.067676917407155,5,1.0018057435443244,0.8392527045039627,-2.613758731802981,-1.8251898467211958,-0.8888134962506445,0.024077272710711663,0.7536171430045272,0.788499
-0.125,-29.625,0.2897476246944626,0.3263888888888889,0.5833333333333333,0,0,0.09027777777777778,17,173.92342460654234,7,1.2841196199777167,0.861044239743129,-2.0009462657036874,-0.2705540981866738,-1.0553417469935624,0.13190761728053146,0.8453513229542738,0.8715649999999999
-0.125,-5.375,0.3484341153301848,0.5575174825174825,0.3575174825174825,0.04702797202797203,0,0.037937062937062935,53.5,6746.1641489801405,10,1.31354165430999,0.6496957172990409,-2.3857619594099018,-0.6706119995015294,-1.7466602526262573,0.27818955929088596,0.7753973084959113,0.8338365
-0.125,-7.125,0.36476902647648984,0.5709677419354839,0.3790322580645161,0.0375,0,0.0125,35.5,212.63751614597322,8,1.1552571694361058,0.6490571699251562,-2.847782852006427,-1.343629066788794,-1.6683609423320598,0.14488636149637427,0.7836021504318842,0.837026
