profile_id,lon_r,lat_r,path_to_img,object_id,lon,lat,datetime,depth,taxon,large_group,pixel_id,case
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12549002.jpg,12549002,-15.778,-48.27683,2009-02-27T10:03:42Z,92.3,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12542672.jpg,12542672,-15.778,-48.27683,2009-02-27T10:03:42Z,92.4,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12525565.jpg,12525565,-15.778,-48.27683,2009-02-27T10:03:42Z,92.4,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12495922.jpg,12495922,-15.778,-48.27683,2009-02-27T10:03:42Z,92.4,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12493013.jpg,12493013,-15.778,-48.27683,2009-02-27T10:03:42Z,92.4,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12490116.jpg,12490116,-15.778,-48.27683,2009-02-27T10:03:42Z,93.5,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12531971.jpg,12531971,-15.778,-48.27683,2009-02-27T10:03:42Z,93.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12526666.jpg,12526666,-15.778,-48.27683,2009-02-27T10:03:42Z,94.3,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12553933.jpg,12553933,-15.778,-48.27683,2009-02-27T10:03:42Z,94.6,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12543452.jpg,12543452,-15.778,-48.27683,2009-02-27T10:03:42Z,94.8,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12490916.jpg,12490916,-15.778,-48.27683,2009-02-27T10:03:42Z,95.3,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12495314.jpg,12495314,-15.778,-48.27683,2009-02-27T10:03:42Z,95.5,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12556745.jpg,12556745,-15.778,-48.27683,2009-02-27T10:03:42Z,95.7,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12523142.jpg,12523142,-15.778,-48.27683,2009-02-27T10:03:42Z,95.8,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12557773.jpg,12557773,-15.778,-48.27683,2009-02-27T10:03:42Z,95.8,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12529384.jpg,12529384,-15.778,-48.27683,2009-02-27T10:03:42Z,95.8,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12494875.jpg,12494875,-15.778,-48.27683,2009-02-27T10:03:42Z,95.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12524724.jpg,12524724,-15.778,-48.27683,2009-02-27T10:03:42Z,95.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12534857.jpg,12534857,-15.778,-48.27683,2009-02-27T10:03:42Z,95.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12507078.jpg,12507078,-15.778,-48.27683,2009-02-27T10:03:42Z,96,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12514549.jpg,12514549,-15.778,-48.27683,2009-02-27T10:03:42Z,96,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12490961.jpg,12490961,-15.778,-48.27683,2009-02-27T10:03:42Z,96.1,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12537201.jpg,12537201,-15.778,-48.27683,2009-02-27T10:03:42Z,96.2,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12509201.jpg,12509201,-15.778,-48.27683,2009-02-27T10:03:42Z,96.2,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12495335.jpg,12495335,-15.778,-48.27683,2009-02-27T10:03:42Z,96.8,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12545437.jpg,12545437,-15.778,-48.27683,2009-02-27T10:03:42Z,97.2,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12555450.jpg,12555450,-15.778,-48.27683,2009-02-27T10:03:42Z,97.3,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12508226.jpg,12508226,-15.778,-48.27683,2009-02-27T10:03:42Z,97.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12511928.jpg,12511928,-15.778,-48.27683,2009-02-27T10:03:42Z,98.5,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12558019.jpg,12558019,-15.778,-48.27683,2009-02-27T10:03:42Z,98.7,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12514329.jpg,12514329,-15.778,-48.27683,2009-02-27T10:03:42Z,98.9,Copepoda,Crustacea,6,Low taxonomic evenness
