cv_type,var_name,x,yhat_loc,yhat_spr,nice_name
spatial,ta_eve_1,0.06317862787762091,0.42105455180807827,0.008799541096798777,Tax. evenness
spatial,ta_eve_1,0.2385890622674712,0.4210545926641322,0.00879956022489874,Tax. evenness
spatial,ta_eve_1,0.30500926469415235,0.4210175425848728,0.008803717531432326,Tax. evenness
spatial,ta_eve_1,0.32602037759743036,0.4209748737807163,0.008816963226839614,Tax. evenness
spatial,ta_eve_1,0.34818534644185434,0.42053892352956584,0.008837848832509406,Tax. evenness
spatial,ta_eve_1,0.37161736720284994,0.4184022001456956,0.008782070530907196,Tax. evenness
spatial,ta_eve_1,0.3877691527654764,0.41459483910058414,0.008480341968210497,Tax. evenness
spatial,ta_eve_1,0.40494076658614225,0.41369251899978415,0.00837780876199084,Tax. evenness
spatial,ta_eve_1,0.433496429148598,0.41321364614752015,0.008325804602970695,Tax. evenness
spatial,ta_eve_1,0.45508627634602333,0.4120933170569774,0.008037971493110937,Tax. evenness
spatial,ta_eve_1,0.4779310251667299,0.4096913648482336,0.007299894106215408,Tax. evenness
spatial,ta_eve_1,0.497894028678707,0.40660095232794624,0.006022276074752135,Tax. evenness
spatial,ta_eve_1,0.5123919967669066,0.404298701215349,0.005022848218834709,Tax. evenness
spatial,ta_eve_1,0.5257458019375656,0.4033607873678043,0.004581429005255537,Tax. evenness
spatial,ta_eve_1,0.5351735511131429,0.4010937997083631,0.003414607325763434,Tax. evenness
spatial,ta_eve_1,0.5446329580654041,0.4011307036870795,0.0034318355275338125,Tax. evenness
spatial,ta_eve_1,0.5552963900804895,0.39978385114490406,0.002643111276871319,Tax. evenness
spatial,ta_eve_1,0.5638564462721993,0.39751156893374195,0.001524228048957085,Tax. evenness
spatial,ta_eve_1,0.5680482708401922,0.3976391372213191,0.001537209532781359,Tax. evenness
spatial,ta_eve_1,0.5810418430243439,0.39747907039563685,0.0014423852889217186,Tax. evenness
spatial,ta_eve_1,0.5892406858227324,0.3980528905869912,0.0014309000117956822,Tax. evenness
spatial,ta_eve_1,0.5938220357001411,0.3987927211772738,0.0014315605848781803,Tax. evenness
spatial,ta_eve_1,0.601205697598557,0.39925621266698846,0.0014089812013926295,Tax. evenness
spatial,ta_eve_1,0.6088131160058798,0.4004724327571927,0.001299897849199499,Tax. evenness
spatial,ta_eve_1,0.613389608457926,0.40053100264081815,0.001279980385411692,Tax. evenness
spatial,ta_eve_1,0.6190638189675417,0.4005897209446988,0.0012827663490613992,Tax. evenness
spatial,ta_eve_1,0.6289281191204442,0.4005350922102254,0.001225890897537284,Tax. evenness
spatial,ta_eve_1,0.63583474265744,0.40052601065894283,0.0012101366168962848,Tax. evenness
spatial,ta_eve_1,0.6395365885975293,0.4002985519005398,0.001206025036615308,Tax. evenness
spatial,ta_eve_1,0.6475262240969968,0.39976402264747596,0.0012313628360060677,Tax. evenness
spatial,ta_eve_1,0.6525960961127815,0.3997081887420947,0.0012302547520578078,Tax. evenness
spatial,ta_eve_1,0.6569842350615986,0.3996959727495854,0.001230407484078843,Tax. evenness
spatial,ta_eve_1,0.659693271683636,0.39969593533628794,0.0012304074836370271,Tax. evenness
spatial,ta_eve_1,0.665218746715674,0.3996933264938834,0.001230410033354818,Tax. evenness
spatial,ta_eve_1,0.6687068723426027,0.39968070303837505,0.0012308009348343803,Tax. evenness
spatial,ta_eve_1,0.6715328485008265,0.3997109824611435,0.0012284234506466688,Tax. evenness
spatial,ta_eve_1,0.6764866974945514,0.39974486847167523,0.0012320743337881582,Tax. evenness
spatial,ta_eve_1,0.6792281849928585,0.3997546312950967,0.001233580030233939,Tax. evenness
spatial,ta_eve_1,0.68357492713204,0.39975449464317536,0.0012335800306566948,Tax. evenness
spatial,ta_eve_1,0.6870943653500006,0.39975728101005253,0.001232837654133289,Tax. evenness
spatial,ta_eve_1,0.6923314069483746,0.39960648698112505,0.0012365904935256232,Tax. evenness
spatial,ta_eve_1,0.6941562221522048,0.3994394713331449,0.0012309844372888992,Tax. evenness
spatial,ta_eve_1,0.6969964249661789,0.39926123874305885,0.0012245214035581245,Tax. evenness
spatial,ta_eve_1,0.69994964818665,0.3991577907965778,0.0012252716439311807,Tax. evenness
spatial,ta_eve_1,0.7025100433147652,0.3990130597699702,0.0011943269968554917,Tax. evenness
spatial,ta_eve_1,0.7051771781451851,0.3987521166566829,0.0012070930263280192,Tax. evenness
spatial,ta_eve_1,0.7080770840407936,0.39817828562943314,0.001247859948749587,Tax. evenness
spatial,ta_eve_1,0.7120157578710496,0.3978568486104145,0.0012096949128903801,Tax. evenness
spatial,ta_eve_1,0.7177697032122515,0.39713814809345693,0.0010062475465653358,Tax. evenness
spatial,ta_eve_1,0.7236089873019361,0.39663040147575773,0.0010720209481937277,Tax. evenness
spatial,ta_eve_1,0.7274072817064368,0.3960429395384553,0.0011849548529505587,Tax. evenness
spatial,ta_eve_1,0.7291604608588027,0.39556746663372727,0.0012425898152237244,Tax. evenness
spatial,ta_eve_1,0.7319041900656922,0.39535613421913973,0.0015555109683108685,Tax. evenness
spatial,ta_eve_1,0.7334972011083384,0.3951298667366033,0.0015941214540892913,Tax. evenness
spatial,ta_eve_1,0.7356119950877849,0.3950969591145073,0.0015956957652072342,Tax. evenness
spatial,ta_eve_1,0.7398511932738933,0.3947520883691131,0.0016324990231788331,Tax. evenness
spatial,ta_eve_1,0.7421121860957012,0.39321623528845345,0.0023362220422279405,Tax. evenness
spatial,ta_eve_1,0.745843790860798,0.3924953435934461,0.0026743220988524044,Tax. evenness
